iter	Logloss
0	0.5252305004
1	0.4545635141
2	0.4162005952
3	0.3909856121
4	0.3702140675
5	0.3592532754
6	0.3504644335
7	0.3442220637
8	0.3384259523
9	0.3363113472
10	0.3349309917
11	0.3309494552
12	0.3271664715
13	0.3246505128
14	0.3207737708
15	0.3173124706
16	0.3151548066
17	0.3133333331
18	0.310815216
19	0.3095135141
20	0.3056414779
21	0.3026964819
22	0.3002885878
23	0.2978300116
24	0.2970423668
25	0.2946247203
26	0.2939398788
27	0.2896803374
28	0.2879655728
29	0.2858288651
30	0.2853888436
31	0.282600154
32	0.2814305704
33	0.2790438882
34	0.2755813185
35	0.2734162329
36	0.2729906578
37	0.2704806547
38	0.2688516333
39	0.2664771213
40	0.2661235571
41	0.2657431534
42	0.2644972911
43	0.2630967254
44	0.2609951225
45	0.260853533
46	0.2591346049
47	0.2576421691
48	0.2560799732
49	0.2536591878
50	0.2531641334
51	0.2528170571
52	0.2516651449
53	0.2494105862
54	0.2479186167
55	0.2460146109
56	0.2445977673
57	0.242772744
58	0.2417875116
59	0.2417860172
60	0.2414833002
61	0.240452477
62	0.2394260428
63	0.2385165059
64	0.2364110809
65	0.2347059246
66	0.2346481388
67	0.2333566984
68	0.2316461155
69	0.2308086605
70	0.2297717632
71	0.2290713153
72	0.2274072869
73	0.2258995175
74	0.2252473305
75	0.2249267705
76	0.224005317
77	0.2234449887
78	0.2221437112
79	0.2200628053
80	0.2186555881
81	0.2186460935
82	0.217915248
83	0.2178211376
84	0.2178179958
85	0.2174417298
86	0.2161097452
87	0.2153799928
88	0.2152037036
89	0.2148215919
90	0.2143798073
91	0.2125167042
92	0.2111315741
93	0.2088541694
94	0.2082853093
95	0.2077335488
96	0.2069403406
97	0.2048112052
98	0.2043242614
99	0.2027929318
100	0.2019150958
101	0.2008169224
102	0.2003067138
103	0.2001432197
104	0.1989345738
105	0.1987022629
106	0.1982217902
107	0.1978029804
108	0.1971174316
109	0.1966601818
110	0.1963045135
111	0.1956028854
112	0.1952866616
113	0.1949071659
114	0.1946877508
115	0.1938988034
116	0.19287249
117	0.1909241235
118	0.1907212308
