iter	Passed	Remaining
0	1	618
1	2	586
2	3	595
3	4	595
4	5	587
5	6	588
6	7	590
7	8	603
8	9	603
9	10	601
10	11	601
11	12	597
12	13	592
13	14	591
14	15	588
15	16	584
16	17	581
17	18	581
18	19	581
19	20	580
20	21	579
21	22	576
22	24	577
23	25	574
24	26	572
25	27	571
26	28	570
27	29	567
28	29	564
29	31	563
30	32	567
31	33	566
32	34	564
33	35	561
34	36	559
35	37	557
36	38	556
37	39	555
38	40	556
39	41	555
40	42	554
41	43	553
42	44	552
43	45	549
44	46	548
45	48	552
46	49	551
47	50	552
48	51	551
49	52	550
50	53	549
51	54	548
52	55	547
53	56	546
54	57	545
55	58	544
56	59	542
57	60	540
58	61	538
59	62	537
60	63	535
61	64	533
62	65	532
63	66	531
64	67	530
65	68	528
66	69	527
67	70	526
68	71	526
69	72	525
70	73	523
71	74	522
72	75	520
73	76	519
74	77	518
75	78	517
76	79	516
77	80	515
78	81	513
79	82	512
80	83	511
81	84	510
82	85	509
83	86	508
84	87	507
85	89	506
86	90	505
87	91	503
88	92	502
89	93	501
90	94	502
91	95	501
92	96	499
93	97	498
94	98	497
95	99	496
96	100	495
97	101	494
98	102	493
99	103	492
100	104	490
101	105	489
102	106	489
103	107	488
104	108	487
105	110	486
106	111	485
107	112	484
108	113	484
109	114	483
110	115	482
111	116	481
112	117	479
113	118	478
114	119	477
115	120	476
116	121	475
117	122	474
118	123	473
